Id_Rssd,Region,N,asOfDate
1039502,Caribbean,46,2000-03-31
1039502,Africa,5,2000-03-31
1039502,Middle East,3,2000-03-31
1039502,South Asia,3,2000-03-31
1039502,Northern America,935,2000-06-30
1039502,East Asia,27,2000-06-30
1039502,Europe,137,2000-06-30
1039502,Central and South America,61,2000-06-30
1039502,Southeast Asia and Oceania,32,2000-06-30
1039502,Caribbean,46,2000-06-30
1039502,Africa,5,2000-06-30
1039502,Middle East,3,2000-06-30
1039502,South Asia,4,2000-06-30
1039502,Northern America,1003,2000-09-30
1039502,East Asia,60,2000-09-30
1039502,Europe,281,2000-09-30
1039502,Central and South America,69,2000-09-30
1039502,Southeast Asia and Oceania,110,2000-09-30
1039502,Caribbean,103,2000-09-30
1039502,Africa,35,2000-09-30
1039502,Middle East,13,2000-09-30
1039502,South Asia,19,2000-09-30
1039502,Northern America,1259,2000-12-31
1039502,Europe,356,2000-12-31
1039502,East Asia,63,2000-12-31
1039502,Caribbean,103,2000-12-31
1039502,Southeast Asia and Oceania,124,2000-12-31
1039502,Central and South America,89,2000-12-31
1039502,Middle East,7,2000-12-31
1039502,Africa,29,2000-12-31
1039502,South Asia,19,2000-12-31
1039502,Northern America,1247,2001-03-31
1039502,Europe,342,2001-03-31
1039502,East Asia,62,2001-03-31
1039502,Caribbean,104,2001-03-31
1039502,Southeast Asia and Oceania,127,2001-03-31
1039502,Central and South America,86,2001-03-31
1039502,Middle East,7,2001-03-31
1039502,Africa,29,2001-03-31
1039502,South Asia,19,2001-03-31
1039502,Northern America,1240,2001-06-30
1039502,Europe,329,2001-06-30
1039502,East Asia,59,2001-06-30
1039502,Caribbean,104,2001-06-30
1039502,Southeast Asia and Oceania,121,2001-06-30
1039502,Central and South America,80,2001-06-30
1039502,Middle East,6,2001-06-30
1039502,Africa,29,2001-06-30
1039502,South Asia,18,2001-06-30
1039502,Northern America,790,2001-09-30
1039502,Europe,246,2001-09-30
1039502,East Asia,46,2001-09-30
1039502,Caribbean,79,2001-09-30
1039502,Central and South America,35,2001-09-30
1039502,Southeast Asia and Oceania,92,2001-09-30
1039502,Africa,17,2001-09-30
1039502,South Asia,13,2001-09-30
1039502,Middle East,2,2001-09-30
1039502,Northern America,793,2001-12-31
1039502,Caribbean,77,2001-12-31
1039502,Europe,239,2001-12-31
1039502,Central and South America,32,2001-12-31
1039502,Southeast Asia and Oceania,84,2001-12-31
1039502,East Asia,46,2001-12-31
1039502,Africa,14,2001-12-31
1039502,Middle East,2,2001-12-31
1039502,South Asia,10,2001-12-31
1039502,Northern America,796,2002-03-31
1039502,Caribbean,75,2002-03-31
1039502,Europe,225,2002-03-31
1039502,Central and South America,30,2002-03-31
1039502,Southeast Asia and Oceania,79,2002-03-31
1039502,East Asia,41,2002-03-31
1039502,Africa,12,2002-03-31
1039502,Middle East,2,2002-03-31
1039502,South Asia,10,2002-03-31
1039502,Northern America,822,2002-06-30
1039502,Caribbean,74,2002-06-30
1039502,Europe,201,2002-06-30
1039502,Central and South America,29,2002-06-30
1039502,Southeast Asia and Oceania,80,2002-06-30
1039502,East Asia,42,2002-06-30
1039502,Africa,12,2002-06-30
1039502,Middle East,1,2002-06-30
1039502,South Asia,10,2002-06-30
1039502,Northern America,837,2002-09-30
1039502,East Asia,42,2002-09-30
1039502,Europe,201,2002-09-30
1039502,Caribbean,72,2002-09-30
1039502,Central and South America,29,2002-09-30
1039502,Southeast Asia and Oceania,72,2002-09-30
1039502,Africa,11,2002-09-30
1039502,South Asia,10,2002-09-30
1039502,Northern America,836,2002-12-31
1039502,East Asia,40,2002-12-31
1039502,Europe,196,2002-12-31
1039502,Caribbean,70,2002-12-31
1039502,Central and South America,29,2002-12-31
1039502,Southeast Asia and Oceania,66,2002-12-31
1039502,Africa,9,2002-12-31
1039502,South Asia,10,2002-12-31
1039502,Northern America,841,2003-03-31
1039502,East Asia,40,2003-03-31
1039502,Europe,197,2003-03-31
1039502,Caribbean,67,2003-03-31
1039502,Central and South America,27,2003-03-31
1039502,Southeast Asia and Oceania,68,2003-03-31
1039502,Africa,9,2003-03-31
1039502,South Asia,10,2003-03-31
1039502,Northern America,870,2003-06-30
1039502,Europe,194,2003-06-30
1039502,Caribbean,61,2003-06-30
1039502,Central and South America,24,2003-06-30
1039502,Southeast Asia and Oceania,68,2003-06-30
1039502,East Asia,37,2003-06-30
1039502,Africa,9,2003-06-30
1039502,South Asia,9,2003-06-30
1039502,Northern America,920,2003-09-30
1039502,Caribbean,58,2003-09-30
1039502,Southeast Asia and Oceania,68,2003-09-30
1039502,Europe,193,2003-09-30
1039502,Central and South America,24,2003-09-30
1039502,East Asia,37,2003-09-30
1039502,Africa,8,2003-09-30
1039502,South Asia,9,2003-09-30
1039502,Northern America,916,2003-12-31
1039502,Caribbean,53,2003-12-31
1039502,Southeast Asia and Oceania,66,2003-12-31
1039502,Europe,191,2003-12-31
1039502,Central and South America,23,2003-12-31
1039502,East Asia,37,2003-12-31
1039502,Africa,8,2003-12-31
1039502,South Asia,9,2003-12-31
1039502,Northern America,899,2004-03-31
1039502,Caribbean,52,2004-03-31
1039502,Southeast Asia and Oceania,63,2004-03-31
1039502,Europe,188,2004-03-31
1039502,Central and South America,23,2004-03-31
1039502,East Asia,37,2004-03-31
1039502,Africa,8,2004-03-31
1039502,South Asia,7,2004-03-31
1039502,Northern America,901,2004-06-30
1039502,Caribbean,53,2004-06-30
1039502,Southeast Asia and Oceania,63,2004-06-30
