Id_Rssd,N,asOfDate
1070345,2,2013-09-30
1070345,2,2013-12-31
1070345,2,2014-03-31
1070345,2,2014-06-30
1070345,2,2014-09-30
1070345,2,2014-12-31
1070345,2,2015-03-31
1070345,2,2015-06-30
1070345,2,2015-09-30
1070345,2,2015-12-31
1070345,2,2016-03-31
1070345,2,2016-06-30
1070345,2,2016-09-30
1070345,1,2016-12-31
1070345,1,2017-03-31
1070345,1,2017-06-30
1070345,1,2017-09-30
1070345,1,2017-12-31
1070345,1,2018-03-31
1070345,1,2018-06-30
1070345,1,2018-09-30
1073757,123,1999-12-31
1073757,127,2000-03-31
1073757,134,2000-06-30
1073757,140,2000-09-30
1073757,144,2000-12-31
1073757,139,2001-03-31
1073757,142,2001-06-30
1073757,131,2001-09-30
1073757,133,2001-12-31
1073757,125,2002-03-31
1073757,125,2002-06-30
1073757,121,2002-09-30
1073757,95,2002-12-31
1073757,98,2003-03-31
1073757,98,2003-06-30
1073757,97,2003-09-30
1073757,100,2003-12-31
1073757,103,2004-03-31
1073757,135,2004-06-30
1073757,132,2004-09-30
1073757,138,2004-12-31
1073757,138,2005-03-31
1073757,142,2005-06-30
1073757,136,2005-09-30
1073757,133,2005-12-31
1073757,137,2006-03-31
1073757,136,2006-06-30
1073757,136,2006-09-30
1073757,130,2006-12-31
1073757,128,2007-03-31
1073757,121,2007-06-30
1073757,115,2007-09-30
1073757,117,2007-12-31
1073757,125,2008-03-31
1073757,123,2008-06-30
1073757,127,2008-09-30
1073757,107,2008-12-31
1073757,287,2009-03-31
1073757,281,2009-06-30
1073757,285,2009-09-30
1073757,287,2009-12-31
1073757,285,2010-03-31
1073757,264,2010-06-30
1073757,259,2010-09-30
1073757,212,2010-12-31
1073757,200,2011-03-31
1073757,191,2011-06-30
1073757,184,2011-09-30
1073757,174,2011-12-31
1073757,162,2012-03-31
1073757,157,2012-06-30
1073757,152,2012-09-30
1073757,147,2012-12-31
1073757,134,2013-03-31
1073757,127,2013-06-30
1073757,122,2013-09-30
1073757,113,2013-12-31
1073757,106,2014-03-31
1073757,106,2014-06-30
1073757,106,2014-09-30
1073757,102,2014-12-31
1073757,96,2015-03-31
1073757,93,2015-06-30
1073757,91,2015-09-30
1073757,90,2015-12-31
1073757,89,2016-03-31
1073757,88,2016-06-30
1073757,85,2016-09-30
1073757,75,2016-12-31
1073757,75,2017-03-31
1073757,72,2017-06-30
1073757,70,2017-09-30
1073757,70,2017-12-31
1073757,68,2018-03-31
1073757,67,2018-06-30
1073757,65,2018-09-30
1074156,0,1999-12-31
1074156,0,2000-03-31
1074156,0,2000-06-30
1074156,0,2000-09-30
1074156,1,2000-12-31
1074156,1,2001-03-31
1074156,1,2001-06-30
1074156,1,2001-09-30
1074156,1,2001-12-31
1074156,2,2002-03-31
1074156,2,2002-06-30
1074156,2,2002-09-30
1074156,2,2002-12-31
1074156,2,2003-03-31
1074156,2,2003-06-30
1074156,2,2003-09-30
1074156,2,2003-12-31
1074156,2,2004-03-31
1074156,2,2004-06-30
1074156,2,2004-09-30
1074156,2,2004-12-31
1074156,2,2005-03-31
1074156,2,2005-06-30
1074156,2,2005-09-30
1074156,2,2005-12-31
1074156,2,2006-03-31
1074156,2,2006-06-30
1074156,2,2006-09-30
1074156,2,2006-12-31
1074156,2,2007-03-31
1074156,3,2007-06-30
1074156,3,2007-09-30
1074156,3,2007-12-31
1074156,3,2008-03-31
1074156,4,2008-06-30
1074156,4,2008-09-30
1074156,4,2008-12-31
1074156,4,2009-03-31
1074156,4,2009-06-30
1074156,4,2009-09-30
1074156,4,2009-12-31
1074156,4,2010-03-31
1074156,4,2010-06-30
1074156,4,2010-09-30
1074156,4,2010-12-31
1074156,3,2011-03-31
1074156,3,2011-06-30
1074156,3,2011-09-30
1074156,3,2011-12-31
1074156,3,2012-03-31
1074156,5,2012-06-30
1074156,5,2012-09-30
1074156,5,2012-12-31
1074156,4,2013-03-31
1074156,4,2013-06-30
1074156,4,2013-09-30
1074156,4,2013-12-31
1074156,4,2014-03-31
1074156,3,2014-06-30
1074156,3,2014-09-30
1074156,3,2014-12-31
1074156,3,2015-03-31
1074156,2,2015-06-30
1074156,2,2015-09-30
1074156,2,2015-12-31
1074156,2,2016-03-31
1074156,2,2016-06-30
1074156,2,2016-09-30
1074156,2,2016-12-31
1074156,2,2017-03-31
1074156,2,2017-06-30
1074156,2,2017-09-30
1074156,2,2017-12-31
1074156,2,2018-03-31
1074156,2,2018-06-30
1074156,2,2018-09-30
