"Type","V1","yearqtr"
"FHC - Foreign",2,1989-03-31
"BHC",6430,1989-06-30
"SLHC",73,1989-06-30
"FBO as BHC",92,1989-06-30
"FHC - Foreign",2,1989-06-30
"BHC",6412,1989-09-30
"SLHC",74,1989-09-30
"FBO as BHC",93,1989-09-30
"FHC - Foreign",2,1989-09-30
"BHC",6411,1989-12-31
"SLHC",76,1989-12-31
"FBO as BHC",92,1989-12-31
"FHC - Foreign",2,1989-12-31
"BHC",6400,1990-03-31
"SLHC",77,1990-03-31
"FBO as BHC",91,1990-03-31
"FHC - Foreign",2,1990-03-31
"BHC",6393,1990-06-30
"SLHC",79,1990-06-30
"FBO as BHC",92,1990-06-30
"FHC - Foreign",2,1990-06-30
"BHC",6395,1990-09-30
"SLHC",81,1990-09-30
"FBO as BHC",94,1990-09-30
"FHC - Foreign",2,1990-09-30
"BHC",6393,1990-12-31
"SLHC",82,1990-12-31
"FBO as BHC",94,1990-12-31
"FHC - Foreign",2,1990-12-31
"BHC",6392,1991-03-31
"SLHC",84,1991-03-31
"FBO as BHC",96,1991-03-31
"FHC - Foreign",2,1991-03-31
"BHC",6390,1991-06-30
"SLHC",88,1991-06-30
"FBO as BHC",97,1991-06-30
"FHC - Foreign",2,1991-06-30
"BHC",6392,1991-09-30
"SLHC",87,1991-09-30
"FBO as BHC",93,1991-09-30
"FHC - Foreign",2,1991-09-30
"BHC",6368,1991-12-31
"SLHC",87,1991-12-31
"FBO as BHC",85,1991-12-31
"FHC - Foreign",2,1991-12-31
"BHC",6344,1992-03-31
"SLHC",89,1992-03-31
"FBO as BHC",86,1992-03-31
"FHC - Foreign",2,1992-03-31
"BHC",6308,1992-06-30
"SLHC",89,1992-06-30
"FBO as BHC",86,1992-06-30
"FHC - Foreign",2,1992-06-30
"BHC",6308,1992-09-30
"SLHC",87,1992-09-30
"FBO as BHC",86,1992-09-30
"FHC - Foreign",2,1992-09-30
"BHC",6266,1992-12-31
"SLHC",87,1992-12-31
"FBO as BHC",85,1992-12-31
"FHC - Foreign",2,1992-12-31
"BHC",6224,1993-03-31
"SLHC",89,1993-03-31
"FBO as BHC",85,1993-03-31
"FHC - Foreign",2,1993-03-31
"BHC",6180,1993-06-30
"SLHC",91,1993-06-30
"FBO as BHC",85,1993-06-30
"FHC - Foreign",2,1993-06-30
"BHC",6163,1993-09-30
"SLHC",95,1993-09-30
"FBO as BHC",84,1993-09-30
"FHC - Foreign",2,1993-09-30
"BHC",6136,1993-12-31
"SLHC",99,1993-12-31
"FBO as BHC",81,1993-12-31
"FHC - Foreign",2,1993-12-31
"BHC",6105,1994-03-31
"SLHC",99,1994-03-31
"FBO as BHC",87,1994-03-31
"FHC - Foreign",2,1994-03-31
"BHC",6076,1994-06-30
"SLHC",103,1994-06-30
"FBO as BHC",87,1994-06-30
"FHC - Foreign",2,1994-06-30
"SLHC",107,1994-09-30
"BHC",6046,1994-09-30
"FBO as BHC",86,1994-09-30
"FHC - Foreign",2,1994-09-30
"SLHC",111,1994-12-31
"BHC",6043,1994-12-31
"FBO as BHC",85,1994-12-31
"FHC - Foreign",2,1994-12-31
"SLHC",125,1995-03-31
"BHC",6027,1995-03-31
"FBO as BHC",82,1995-03-31
"FHC - Foreign",2,1995-03-31
"SLHC",133,1995-06-30
"BHC",6035,1995-06-30
"FBO as BHC",82,1995-06-30
"FHC - Foreign",2,1995-06-30
"SLHC",144,1995-09-30
"BHC",6043,1995-09-30
"FBO as BHC",82,1995-09-30
"FHC - Foreign",2,1995-09-30
"SLHC",151,1995-12-31
"BHC",6058,1995-12-31
"FBO as BHC",90,1995-12-31
"FHC - Foreign",2,1995-12-31
"SLHC",160,1996-03-31
"BHC",6052,1996-03-31
"FBO as BHC",87,1996-03-31
"FHC - Foreign",2,1996-03-31
"SLHC",163,1996-06-30
"BHC",6044,1996-06-30
"FBO as BHC",83,1996-06-30
"FHC - Foreign",2,1996-06-30
"SLHC",172,1996-09-30
"BHC",6037,1996-09-30
"FBO as BHC",85,1996-09-30
"FHC - Foreign",2,1996-09-30
"SLHC",168,1996-12-31
"BHC",6027,1996-12-31
"FBO as BHC",84,1996-12-31
"FHC - Foreign",2,1996-12-31
"SLHC",171,1997-03-31
"BHC",6040,1997-03-31
"FBO as BHC",80,1997-03-31
"FHC - Foreign",2,1997-03-31
"SLHC",181,1997-06-30
"BHC",6017,1997-06-30
