yearqtr,Id_Rssd,BHCK2170
1996-09-30,1070345,20086988
1996-12-31,1070345,20548998
1997-03-31,1070345,20175697
1997-06-30,1070345,20694518
1997-09-30,1070345,20927002
1997-12-31,1070345,21375054
1998-03-31,1070345,22856499
1998-06-30,1070345,28292682
1998-09-30,1070345,28332820
1998-12-31,1070345,28921782
1999-03-31,1070345,29652198
1999-06-30,1070345,31628421
1999-09-30,1070345,32998654
1999-12-31,1070345,41589512
2000-03-31,1070345,44388765
2000-06-30,1070345,44723932
2000-09-30,1070345,44395900
2000-12-31,1070345,45856906
2001-03-31,1070345,47014747
2001-06-30,1070345,69833640
2001-09-30,1070345,70118176
2001-12-31,1070345,71026340
2002-03-31,1070345,70618618
2002-06-30,1070345,74923337
2002-09-30,1070345,77700740
2002-12-31,1070345,80899212
2003-03-31,1070345,84291659
2003-06-30,1070345,88974290
2003-09-30,1070345,89422223
2003-12-31,1070345,91143023
2004-03-31,1070345,93732210
2004-06-30,1070345,95613539
2004-09-30,1070345,98293074
2004-12-31,1070345,94455731
2005-03-31,1070345,102712960
2005-06-30,1070345,103159676
2005-09-30,1070345,104608232
2005-12-31,1070345,105225054
2006-03-31,1070345,105044474
2006-06-30,1070345,106110513
2006-09-30,1070345,105828398
2006-12-31,1070345,100669263
2007-03-31,1070345,99823708
2007-06-30,1070345,101389721
2007-09-30,1070345,104265371
2007-12-31,1070345,110961509
2008-03-31,1070345,111396404
2008-06-30,1070345,114974981
2008-09-30,1070345,116294077
2008-12-31,1070345,119763812
2009-03-31,1070345,119312668
2009-06-30,1070345,115983653
2009-09-30,1070345,110740377
2009-12-31,1070345,113379555
2010-03-31,1070345,112651313
2010-06-30,1070345,112025234
2010-09-30,1070345,112322078
2010-12-31,1070345,111006778
2011-03-31,1070345,110484945
2011-06-30,1070345,110804760
2011-09-30,1070345,114904741
2011-12-31,1070345,116249689
2012-03-31,1070345,116154886
2012-06-30,1070345,117087604
2012-09-30,1070345,117032505
2012-12-31,1070345,121500604
2013-03-31,1070345,120789641
2013-06-30,1070345,122642935
2013-09-30,1070345,124939419
2013-12-31,1070345,129685180
2014-03-31,1070345,129654487
2014-06-30,1070345,132562382
2014-09-30,1070345,134187722
2014-12-31,1070345,138705640
2015-03-31,1070345,140469916
2015-06-30,1070345,141658130
2015-09-30,1070345,141917763
2015-12-31,1070345,141082059
2016-03-31,1070345,142430207
2016-06-30,1070345,143625325
2016-09-30,1070345,143278886
2016-12-31,1070345,142176830
2017-03-31,1070345,140199626
1986-09-30,1073757,25170305
1986-12-31,1073757,27472434
1987-03-31,1073757,25808357
1987-06-30,1073757,24624128
1987-09-30,1073757,27911381
1987-12-31,1073757,29238618
1988-03-31,1073757,29171637
1988-06-30,1073757,28801427
1988-09-30,1073757,28712279
1988-12-31,1073757,29972431
1989-03-31,1073757,32395021
1989-06-30,1073757,32952692
1989-09-30,1073757,59712342
